order_id,ordered_at,customer_id,category,pincode,order_value,order_hour,day_of_week,month,is_weekend,festival_period,phone_verified,address_quality_signal,customer_prior_orders,customer_prior_rto_rate,customer_prior_delivery_rate,customer_prior_prepaid_attempts,customer_prior_prepaid_success_rate,customer_order_value_ratio,pincode_prior_orders,pincode_prior_rto_rate,split
ORDER-000000,2025-01-01T00:04:25,CUST-02358,electronics,ZONE-083,1976.56,0,2,1,0,0,0,0.670743,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000001,2025-01-01T00:27:50,CUST-01100,fashion,ZONE-106,2987.46,0,2,1,0,0,1,0.62814,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000002,2025-01-01T00:53:30,CUST-02615,electronics,ZONE-074,3020.3,0,2,1,0,0,1,0.506448,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000003,2025-01-01T01:20:11,CUST-00020,electronics,ZONE-041,4107.35,1,2,1,0,0,1,0.739132,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000004,2025-01-01T01:47:10,CUST-01536,grocery,ZONE-027,1147.11,1,2,1,0,0,0,0.770034,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000005,2025-01-01T02:13:37,CUST-03404,fashion,ZONE-047,1177.91,2,2,1,0,0,0,0.487151,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000006,2025-01-01T02:39:22,CUST-02333,beauty,ZONE-052,754.57,2,2,1,0,0,1,1.0,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000007,2025-01-01T03:02:32,CUST-01074,home,ZONE-100,2481.71,3,2,1,0,0,0,0.587828,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000008,2025-01-01T03:32:21,CUST-03547,grocery,ZONE-072,898.71,3,2,1,0,0,1,0.652657,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000009,2025-01-01T03:56:07,CUST-00061,home,ZONE-043,806.89,3,2,1,0,0,1,0.754341,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000010,2025-01-01T04:24:18,CUST-03510,beauty,ZONE-039,2419.7,4,2,1,0,0,0,0.779916,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000011,2025-01-01T04:49:17,CUST-02993,electronics,ZONE-091,1431.58,4,2,1,0,0,1,0.221481,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000012,2025-01-01T05:12:21,CUST-00586,fashion,ZONE-091,2782.01,5,2,1,0,0,1,0.742416,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000013,2025-01-01T05:40:43,CUST-00269,electronics,ZONE-025,3436.89,5,2,1,0,0,1,0.737158,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000014,2025-01-01T06:08:09,CUST-03778,home,ZONE-057,2282.08,6,2,1,0,0,1,0.777734,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000015,2025-01-01T06:33:56,CUST-00286,fashion,ZONE-008,915.76,6,2,1,0,0,0,0.705982,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000016,2025-01-01T06:59:37,CUST-03885,fashion,ZONE-090,672.37,6,2,1,0,0,1,0.753346,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000017,2025-01-01T07:26:27,CUST-01694,fashion,ZONE-093,2855.36,7,2,1,0,0,1,0.642421,0,0.0,0.0,0,0.0,1.0,0,0.0,train
